name,addr_load,rating_score,rating_num
모모스커피 부산본점,부산 금정구 오시게로 20 (부곡동),No Rating,0
모모스커피 영도 로스터리 앤 커피바,부산 영도구 봉래나루로 160 1층 (봉래동2가),No Rating,0
리이케커피,서울 성북구 보문로34가길 24 1층 (동선동3가),No Rating,0
TXT커피,서울 종로구 창덕궁길 121 (원서동),No Rating,0
헬카페 보테가,서울 용산구 원효로89길 33 1층 (원효로1가),No Rating,0
헬카페,서울 용산구 보광로 76 (보광동),No Rating,0
바마셀,서울 용산구 원효로89길 12 (원효로1가),No Rating,0
메쉬커피,서울 성동구 서울숲길 43 (성수동1가),No Rating,0
디폴트밸류,서울 서대문구 성산로 333 (연희동),No Rating,0
쿼츠,서울 용산구 한강대로 158 1층 103호 (한강로1가),No Rating,0
나무사이로,서울 종로구 사직로8길 21 1층 (내자동),No Rating,0
아이덴티티커피랩,서울 마포구 동교로 139 1층 (서교동),No Rating,0
커피플레이스,경북 경주시 중앙로 18 (노동동),No Rating,0
커피앰비언스,서울 송파구 송이로17길 51 (가락동),No Rating,0
안드로메다,강원 강릉시 하슬라로20번길 8 (교동),No Rating,0
스타벅스 더여수돌산DT점,전남 여수시 돌산읍 돌산로 3549 (돌산읍 우두리),No Rating,0
YM커피프로젝트,서울 은평구 연서로29길 21-8 1층 (갈현동),No Rating,0
힐론카페,전남 여수시 안산1길 62 (안산동),No Rating,0
강원 인제군 남면 설악로 1277,남전리 산 226-13,No Rating,0
맥파이앤타이거 성수티룸,서울 성동구 성수이로 97 5층 (성수동2가),No Rating,0
콩치노 콩크리트,경기 파주시 탄현면 새오리로161번길 17 (탄현면 성동리),No Rating,0
카메라타,경기 파주시 탄현면 헤이리마을길 83 (탄현면 법흥리),No Rating,0
룰커피,서울 서초구 반포대로7길 16 1층 (서초동),No Rating,0
인텔리젠시아커피 디스트리뷰터MH,서울 강남구 강남대로146길 33 1층 (논현동),No Rating,0
호우주의보,"서울 용산구 소월로40길 85 1, 2층 (이태원동)",No Rating,0
스탠스커피,서울 마포구 와우산로11길 9 1층 101호 (상수동),No Rating,0
오츠커피 마포점,서울 마포구 독막로14길 32 지하 1층 (상수동),No Rating,0
퍼셉션 (Perception),서울 마포구 어울마당로1길 16 1층 (합정동),No Rating,0
시러피하우스,서울 마포구 독막로19길 8-17 상수빌라 1층 (상수동),No Rating,0
리사르커피로스터스 약수점,서울 중구 다산로8길 16-7 1층 (신당동),No Rating,0
