name,addr_lot,rating_score,rating_num,note,addr_load
카페미뇽,(지번) 서교동 394-16,3.3,77건,,서울 마포구 양화로6길 35
카페밤비 2호점,(지번) 망원동 57-498,4.8,9건,,서울 마포구 월드컵로21길 18 가동 1층
카페버퍼링,(지번) 서교동 403-2,4.1,7건,,서울 마포구 독막로9길 42 4층
카페보니,(지번) 합정동 363-29,3.3,9건,,서울 마포구 독막로4길 7
카페비비드,(지번) 서교동 396-10,4.3,8건,,서울 마포구 독막로3길 28-18
카페빈,(지번) 서교동 409-9,4.4,14건,,서울 마포구 와우산로15길 24 1-2층
카페산티아고,(지번) 서교동 391-18,4.8,10건,,서울 마포구 양화로7길 6-5 2층
카페서재,(지번) 서교동 464-17,4.0,4건,,서울 마포구 동교로18길 15 1층
카페소공원,(지번) 서교동 397-8,5.0,6건,,서울 마포구 어울마당로5길 52
카페아벨롭,(지번) 서교동 375-2,,,,서울 마포구 양화로15안길 6
카페엠,(지번) 망원동 414-109,4.6,20건,,서울 마포구 포은로6길 27 1층
카페오월일일,(지번) 서교동 475-1,3.6,8건,,서울 마포구 월드컵로14길 28 1층
카페이면,,,,editorPick,제주 제주시 한림읍 금능5길 13 1층 (한림읍 금능리)
카페카운티 홍대점,(지번) 서교동 463-15,3.9,16건,,서울 마포구 동교로 150 대신빌딩 1층
카페카카,(지번) 망원동 416-2,4.2,78건,,서울 마포구 망원로 54-1 1층
카페코드,(지번) 상수동 314-4,3.5,2건,,서울 마포구 독막로15길 3-11 3층
카페쿠키드,(지번) 서교동 400-2,4.6,10건,,서울 마포구 어울마당로5길 25 1층
카페쿡,(지번) 합정동 363-17,5.0,3건,,서울 마포구 독막로6길 6 1층
카페톤,(지번) 성산동 254-18,4.7,79건,,서울 마포구 성미산로1길 26 1층
카페트래블어라운드,(지번) 서교동 395-48,3.0,2건,,서울 마포구 양화로8길 9 우리빌딩 1층
카페파이프,,,,editorPick,서울 동작구 사당로30길 36 1층 (사당동)
카페폴리,(지번) 합정동 393-18,2.7,11건,,서울 마포구 포은로 14 수성빌딩 2층 201호
카페핀드,(지번) 망원동 394-124,4.7,15건,,서울 마포구 동교로 31 2층
카페한,(지번) 합정동 375-4,2.9,21건,,서울 마포구 성지길 32 1층
카페홈즈 합정역점,(지번) 서교동 392-16,4.2,5건,,서울 마포구 양화로 69 1층
카펫,(지번) 망원동 57-12,3.7,61건,,서울 마포구 동교로9길 72 1-2층
칼라스커피 성산점,,,,editorPick,서울 마포구 월드컵북로16길 16 1층 (성산동)
커넥츠커피,(지번) 합정동 376-19,4.4,66건,,서울 마포구 성지길 60 1층
커넥츠커피 망원점,(지번) 망원동 378-6,4.4,42건,,서울 마포구 월드컵로11길 8 1층 105호
커스텀커피 합정점,(지번) 서교동 381-9,4.2,41건,,서울 마포구 월드컵로8길 40 1층
커퍼시티,(지번) 합정동 433-10,4.2,644건,,서울 마포구 동교로 48 1층
커피가게동경,(지번) 망원동 410-1,3.9,184건,editorPick,서울 마포구 망원로6길 21 지하층
커피그래피티,,,,editorPick,서울 영등포구 양평로28다길 3 1층 (양평동6가)
커피기업 합정교보문고점,(지번) 합정동 473,4.5,15건,,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 지하1층 147~148호
커피나커피너,(지번) 합정동 412-17,5.0,3건,,서울 마포구 양화로6길 62
커피다,(지번) 서교동 384-13,3.0,1건,,서울 마포구 양화로11길 56 영창빌딩 1층
커피더맨,(지번) 합정동 383-16,3.6,7건,,서울 마포구 양화로 25 1층
커피디지 합정점,(지번) 서교동 485-1,4.7,6건,,서울 마포구 동교로12길 13 1층
커피랩스로스터리 합정점,(지번) 서교동 394,3.7,43건,,서울 마포구 양화로6길 27
커피리브레 연남점,,,,editorPick,"서울 마포구 성미산로32길 20-5 1,2층 (연남동)"
커피몽타주,,,,editorPick,서울 강동구 올림픽로48길 23-12 1층 (성내동)
커피볶는 홍소,(지번) 합정동 370-39,4.8,14건,,서울 마포구 성지5길 19 지하1층
커피볶는아침,,,,editorPick,서울 송파구 올림픽로 289 제지하1층 제비121-2호 (신천동)
커피빈 상수역점,(지번) 상수동 143-31,4.6,25건,,서울 마포구 와우산로10길 3 엘케이빌딩 1~3층
커피사피엔스 합정효성해링턴점,(지번) 서교동 494,4.5,6건,,서울 마포구 양화로 72 101동 1층 128호
커피앰비언스,,,,editorPick,서울 송파구 송이로17길 51 (가락동)
커피어웨이크 부산대점,,,,editorPick,부산 금정구 부산대학로63번길 46-4 (장전동)
커피에반하다 마포양화로점 스마트카페,(지번) 서교동 393-5,3.0,2건,,서울 마포구 양화로 59 화승리버스텔 1층
커피찾는남자,,,,editorPick,서울 성동구 성수일로12길 52 성수롯데캐슬 상가동 106호 (성수동2가)
커피탐이나,(지번) 서교동 395-128,3.7,7건,,서울 마포구 잔다리로3안길 31
커피템플,,,,editorPick,제주 제주시 영평길 269 1층 (월평동)
커피투어,,,,editorPick,서울 종로구 경희궁2길 12 (내수동)
커피파인더,,,,editorPick,제주 제주시 서광로32길 20 1층 (이도이동)
커피플레이스,,,,editorPick,경북 경주시 중앙로 18 (노동동)
커피하우스마이샤,(지번) 합정동 433-61,4.9,114건,,서울 마포구 포은로 52 1층
컬러드빈,,,,editorPick,서울 서대문구 연희로11가길 8-8 1층 (연희동)
컴포즈커피 망원시장점,(지번) 망원동 401-12,3.4,5건,,서울 마포구 망원로8길 53 1층 102호
컴포즈커피 망원역점,(지번) 서교동 441-13,4.3,3건,,서울 마포구 월드컵로 84 1층
컴포즈커피 망원우체국사거리점,(지번) 망원동 482-9,4.1,9건,,서울 마포구 월드컵로 111 풍성빌딩 1층
컴포즈커피 합정점,(지번) 합정동 414-16,2.8,19건,,서울 마포구 양화로6길 14 1층
컴포즈커피 홍대동교점,(지번) 동교동 206-14,2.9,16건,,서울 마포구 월드컵북로 12 1-2층
컴포즈커피 홍대서교점,(지번) 서교동 345-17,3.7,6건,,서울 마포구 와우산로23길 41 1층
컴피,(지번) 망원동 385-48,,,,서울 마포구 동교로 71-1 1층
케이트앤케이크,(지번) 서교동 464-65,3.7,9건,,서울 마포구 동교로 142-10 1층
코너커피,(지번) 서교동 383-3,0.0,0건,,서울 마포구 동교로12길 38
코드케이 홍대점,(지번) 상수동 86-22,4.7,10건,,서울 마포구 와우산로 64 3층
코모이도이,(지번) 성산동 245-17,5.0,13건,,서울 마포구 성미산로 31 효원빌딩 1층
코스피어,,,,editorPick,부산 금정구 장전온천천로79번길 4 (장전동)
코야코히,(지번) 서교동 376-7,4.9,13건,,서울 마포구 월드컵북로1길 74 1층
코자요,(지번) 서교동 364-1,4.3,3건,,서울 마포구 와우산로21길 21 2층
코칭심리카페,(지번) 서교동 345-2,3.2,14건,,서울 마포구 어울마당로 118 천마빌딩 6층
코코부코 망원본점,(지번) 망원동 396-29,4.7,40건,,서울 마포구 희우정로 72 1층
콘드,(지번) 합정동 386-33,4.3,33건,,서울 마포구 월드컵로3길 32 2층
